"p","n","rho","method","coverage_ind","coverage_vasicek","coverage_drop"
0.05,10000,0.2,"Agresti_Coull",0.9466,0.0617,0.8849
0.05,10000,0.2,"Clopper_Pearson",0.9492,0.0623,0.8869
0.05,10000,0.2,"Wald",0.9478,0.0627,0.8851
0.05,10000,0.2,"Wilson",0.9466,0.0617,0.8849
0.05,10000,0.25,"Agresti_Coull",0.9466,0.0482,0.8984
0.05,10000,0.25,"Clopper_Pearson",0.9492,0.0487,0.9005
0.05,10000,0.25,"Wald",0.9478,0.0482,0.8996
0.05,10000,0.25,"Wilson",0.9466,0.0482,0.8984
0.05,25000,0.01,"Agresti_Coull",0.9468,0.1966,0.7502
0.05,25000,0.01,"Clopper_Pearson",0.9494,0.1976,0.7518
0.05,25000,0.01,"Wald",0.947,0.1957,0.7513
0.05,25000,0.01,"Wilson",0.9468,0.1966,0.7502
0.05,25000,0.05,"Agresti_Coull",0.9468,0.091,0.8558
0.05,25000,0.05,"Clopper_Pearson",0.9494,0.0915,0.8579
0.05,25000,0.05,"Wald",0.947,0.0901,0.8569
0.05,25000,0.05,"Wilson",0.9468,0.091,0.8558
0.05,25000,0.1,"Agresti_Coull",0.9468,0.0589,0.8879
0.05,25000,0.1,"Clopper_Pearson",0.9494,0.0591,0.8903
0.05,25000,0.1,"Wald",0.947,0.0581,0.8889
0.05,25000,0.1,"Wilson",0.9468,0.0589,0.8879
0.05,25000,0.2,"Agresti_Coull",0.9468,0.0412,0.9056
0.05,25000,0.2,"Clopper_Pearson",0.9494,0.0415,0.9079
0.05,25000,0.2,"Wald",0.947,0.0413,0.9057
0.05,25000,0.2,"Wilson",0.9468,0.0412,0.9056
0.05,25000,0.25,"Agresti_Coull",0.9468,0.0318,0.915
0.05,25000,0.25,"Clopper_Pearson",0.9494,0.032,0.9174
0.05,25000,0.25,"Wald",0.947,0.0316,0.9154
0.05,25000,0.25,"Wilson",0.9468,0.0318,0.915
0.05,50000,0.01,"Agresti_Coull",0.9533,0.1525,0.8008
0.05,50000,0.01,"Clopper_Pearson",0.9544,0.1529,0.8015
0.05,50000,0.01,"Wald",0.952,0.1524,0.7996
0.05,50000,0.01,"Wilson",0.9533,0.1525,0.8008
0.05,50000,0.05,"Agresti_Coull",0.9533,0.0649,0.8884
0.05,50000,0.05,"Clopper_Pearson",0.9544,0.0651,0.8893
0.05,50000,0.05,"Wald",0.952,0.0646,0.8874
0.05,50000,0.05,"Wilson",0.9533,0.0649,0.8884
0.05,50000,0.1,"Agresti_Coull",0.9533,0.0454,0.9079
0.05,50000,0.1,"Clopper_Pearson",0.9544,0.0456,0.9088
0.05,50000,0.1,"Wald",0.952,0.0453,0.9067
0.05,50000,0.1,"Wilson",0.9533,0.0454,0.9079
0.05,50000,0.2,"Agresti_Coull",0.9533,0.0294,0.9239
0.05,50000,0.2,"Clopper_Pearson",0.9544,0.0298,0.9246
0.05,50000,0.2,"Wald",0.952,0.0296,0.9224
0.05,50000,0.2,"Wilson",0.9533,0.0294,0.9239
0.05,50000,0.25,"Agresti_Coull",0.9533,0.0246,0.9287
0.05,50000,0.25,"Clopper_Pearson",0.9544,0.0249,0.9295
0.05,50000,0.25,"Wald",0.952,0.0251,0.9269
0.05,50000,0.25,"Wilson",0.9533,0.0246,0.9287
0.05,1e+05,0.01,"Agresti_Coull",0.9518,0.1016,0.8502
0.05,1e+05,0.01,"Clopper_Pearson",0.9522,0.1019,0.8503
0.05,1e+05,0.01,"Wald",0.9507,0.1006,0.8501
0.05,1e+05,0.01,"Wilson",0.9518,0.1016,0.8502
0.05,1e+05,0.05,"Agresti_Coull",0.9518,0.0428,0.909
0.05,1e+05,0.05,"Clopper_Pearson",0.9522,0.0429,0.9093
0.05,1e+05,0.05,"Wald",0.9507,0.0428,0.9079
0.05,1e+05,0.05,"Wilson",0.9518,0.0428,0.909
0.05,1e+05,0.1,"Agresti_Coull",0.9518,0.0259,0.9259
0.05,1e+05,0.1,"Clopper_Pearson",0.9522,0.0259,0.9263
0.05,1e+05,0.1,"Wald",0.9507,0.0254,0.9253
0.05,1e+05,0.1,"Wilson",0.9518,0.0259,0.9259
0.05,1e+05,0.2,"Agresti_Coull",0.9518,0.0222,0.9296
0.05,1e+05,0.2,"Clopper_Pearson",0.9522,0.0222,0.93
0.05,1e+05,0.2,"Wald",0.9507,0.0219,0.9288
0.05,1e+05,0.2,"Wilson",0.9518,0.0222,0.9296
0.05,1e+05,0.25,"Agresti_Coull",0.9518,0.0185,0.9333
0.05,1e+05,0.25,"Clopper_Pearson",0.9522,0.0185,0.9337
0.05,1e+05,0.25,"Wald",0.9507,0.0184,0.9323
0.05,1e+05,0.25,"Wilson",0.9518,0.0185,0.9333
